team,index,week,points_avg,wins_avg,playoffs,playoff_bye,winner,runner_up,third,wins_stdev,points_stdev,per_game_avg,per_game_stdev,per_game_fano,earnings,as_of
69ers,479.0,91.0,1307.1,6.807,0.5358,0.1456,0.0667,0.0888,0.0879,1.614,68.9,100.5,25.1,0.25,88.79,3
All About the D,487.0,91.0,1337.6,7.254,0.6574,0.2269,0.055,0.0989,0.0993,1.638,64.3,102.9,22.0,0.214,83.6,3
Football Cream,511.0,91.0,1330.0,5.51,0.2862,0.0447,0.035,0.0431,0.0455,1.602,66.2,102.3,19.8,0.193,45.48,3
Crotch de Fuego,497.0,91.0,1220.7,6.034,0.2881,0.0497,0.0146,0.028,0.0302,1.574,66.4,93.9,18.7,0.199,23.1,3
4Nette Finga Bangerz,468.0,91.0,1215.6,4.645,0.1013,0.0096,0.005,0.0092,0.012,1.604,68.9,93.5,21.5,0.23,7.96,3
Wankstas,505.0,91.0,1236.3,4.528,0.1008,0.0087,0.0039,0.0093,0.0101,1.608,69.5,95.1,19.4,0.204,6.92,3
Rollin' with Mahomes,516.0,91.0,1525.7,7.924,0.8863,0.4927,0.3702,0.1721,0.167,1.421,72.5,117.4,23.6,0.201,364.49,4
The Big Heads,514.0,91.0,1409.8,7.653,0.8001,0.3269,0.2021,0.1654,0.1602,1.503,62.9,108.4,21.1,0.194,227.32,4
Sunday ShNoz,507.0,91.0,1381.6,7.348,0.7174,0.2573,0.0993,0.1289,0.1301,1.568,78.2,106.3,26.4,0.249,131.12,4
The Sofa Kings,510.0,91.0,1370.9,8.305,0.8694,0.4364,0.0972,0.1691,0.168,1.516,58.0,105.5,21.0,0.2,145.29,4
Football Cream,511.0,91.0,1388.4,6.336,0.5188,0.1019,0.068,0.082,0.083,1.479,65.4,106.8,21.8,0.204,87.3,4
69ers,479.0,91.0,1307.4,6.891,0.5553,0.1327,0.0482,0.0804,0.0829,1.538,66.5,100.6,24.3,0.241,70.97,4
DJ Chark do do dooo,503.0,91.0,1344.6,5.504,0.2928,0.0329,0.0431,0.0463,0.0484,1.503,72.0,103.4,23.6,0.228,53.21,4
Kiss'in Cousins,509.0,91.0,1267.3,6.372,0.4021,0.077,0.0285,0.0537,0.0544,1.566,81.0,97.5,24.8,0.254,44.35,4
All About the D,487.0,91.0,1333.0,6.541,0.5002,0.101,0.0282,0.0644,0.0615,1.521,61.8,102.5,21.6,0.211,48.03,4
4Nette Finga Bangerz,468.0,91.0,1237.7,5.282,0.1744,0.0178,0.0066,0.0157,0.0166,1.519,63.4,95.2,20.2,0.212,11.65,4
Crotch de Fuego,497.0,91.0,1210.3,5.456,0.1836,0.0163,0.0049,0.0131,0.0174,1.471,64.1,93.1,18.0,0.193,9.59,4
Wankstas,505.0,91.0,1307.3,4.39,0.0996,0.0071,0.0037,0.0089,0.0105,1.533,61.0,100.6,20.3,0.201,6.68,4
Rollin' with Mahomes,516.0,91.0,1519.5,8.228,0.9242,0.565,0.3658,0.1912,0.1733,1.361,72.1,116.9,23.3,0.2,367.33,5
The Big Heads,514.0,91.0,1436.8,8.243,0.9055,0.4755,0.2238,0.2074,0.1889,1.443,59.6,110.5,20.0,0.181,260.15,5
The Sofa Kings,510.0,91.0,1355.2,7.865,0.8138,0.2864,0.1147,0.147,0.1532,1.433,56.8,104.2,22.8,0.218,151.18,5
Sunday ShNoz,507.0,91.0,1372.3,7.302,0.7232,0.2046,0.1035,0.1199,0.1314,1.454,69.9,105.6,25.7,0.243,131.91,5
